Text_Ori,Text_clear,Label,Label_2,Check,Final_Label
Tựa vào cái bóng của bản thân dặn lòng an ủi ta không sao,Tựa vào cái bóng của bản thân dặn lòng an ủi ta không sao,2,2,Khớp,2
"Dựa vào chính bản thân m thôi ạ. Đêm đến nước mắt tuôn rơi, sáng dậy lại gắng gượng như ko có chuyện gì xảy ra","Dựa vào chính bản thân mình thôi ạ. Đêm đến nước mắt tuôn rơi, sáng dậy lại gắng gượng như không có chuyện gì xảy ra",2,2,Khớp,2
"Vào bản thân có con thì tựa vào con nhìn con,khóc cho đã r tự đứg lên nhé,k ai thương mìh,bằng mìh tự thương lấy bthan ,nhớ nhé ! Mạnh mẽ lên,yếu đuối cho ai xem💗","Vào bản thân có con thì tựa vào con nhìn con, khóc cho đã rồi tự đứg lên nhé, không ai thương mình,bằng mình tự thương lấy bản thân, nhớ nhé ! Mạnh mẽ lên, yếu đuối cho ai xem",2,2,Khớp,2
em mệt quá em muốn được nghe giọng anh ☺️,em mệt quá em muốn được nghe giọng anh ,0,0,Khớp,0
Đã mấy đêm liền đêm nào tôi ngủ củng mơ thấy a ấy . Có phải vì tôi đã nhớ a ấy đến mức ngay cả trong giấc mơ củng muốn gặp a ấy k . K cần nhìu chỉ cần thấy thôi củng đủ r 🥹,Đã mấy đêm liền đêm nào tôi ngủ củng mơ thấy anh ấy . Có phải vì tôi đã nhớ anh ấy đến mức ngay cả trong giấc mơ cũng muốn gặp anh ấy không . Không cần nhiều chỉ cần thấy thôi cũng đủ rồi,1,1,Khớp,1
Nếu mệt quá thì tựa vào vai em đi! Em cũng cần có người tâm sự! Nhưng người để em tin tưởng và tâm sự với họ thì họ đều rơi bỏ em và làm niềm tin của em không còn nữa! Nhưng nếu ai đó cần tâm sự em luôn sẵn lòng nghe họ tâm sự! ^^ 🙂☺️😊💔🖤🥀,Nếu mệt quá thì tựa vào vai em đi! Em cũng cần có người tâm sự! Nhưng người để em tin tưởng và tâm sự với họ thì họ đều rơi bỏ em và làm niềm tin của em không còn nữa! Nhưng nếu ai đó cần tâm sự em luôn sẵn lòng nghe họ tâm sự!,2,2,Khớp,2
"Ngước mặt lên nhìn trời thôi,cố gắng đừng để giọt nước mắt nào rơi xuống ,vậy là tốt nhất rồi....!!!","Ngước mặt lên nhìn trời thôi,cố gắng đừng để giọt nước mắt nào rơi xuống ,vậy là tốt nhất rồi.",2,2,Khớp,2
Tiền tài danh vọng tớ mệt mỏi quá😳sao không có nổi 1người hiểu tớ z☺️,Tiền tài danh vọng tớ mệt mỏi quá sao không có nổi 1 người hiểu tớ vậy,0,0,Khớp,0
1 thân 1 mình k 1 ai bên cạnh k tự lập nghiệp với 2 bàn tay trắng khi chỉ mới 16 tuổi vì phải trả nợ cho gđ và trả nợ đời😊,1 thân 1 mình không 1 ai bên cạnh không tự lập nghiệp với 2 bàn tay trắng khi chỉ mới 16 tuổi vì phải trả nợ cho gia đình và trả nợ đời,1,1,Khớp,1
Tự vai chính bản thân nhưng mà dôi lúc cung chả ôn chút nào,Tự vai chính bản thân nhưng mà dôi lúc cũng chả ổn chút nào,2,2,Khớp,2
tựa đầu vào gối r thút thít từng giọt nước mắt rơi thôi bt sao giờ☺️,tựa đầu vào gối rồi thút thít từng giọt nước mắt rơi thôi biết sao giờ,2,2,Khớp,2
"cánh tay anh này,trái tim anh này,ừ có anh đây,vậy chứ anh cũng đâu có khỏe gì anh cũng mệt lắm gần đây anh không đủ giấc","cánh tay anh này,trái tim anh này,ừ có anh đây,vậy chứ anh cũng đâu có khỏe gì anh cũng mệt lắm gần đây anh không đủ giấc",0,0,Khớp,0
"mình chưa từng nghĩ sẽ có chuyện này như ngày hôm nay. Mẹ mình cất câu"" bây giờ như vậy rồi, con theo mẹ hay cha "".","mình chưa từng nghĩ sẽ có chuyện này như ngày hôm nay. Mẹ mình cất câu"" bây giờ như vậy rồi, con theo mẹ hay cha "".",1,1,Khớp,1
toi met lam roi... ngta bo toi di roi,"tôi mệt lắm rồi, người ta bỏ tôi đi rồi",0,0,Khớp,0
"chị đi rồi, để lại ngàn nổi nhớ và để em một mình hiu quạnh với những kỷ niệm, những khoảnh khắc hạnh phúc ấy..","chị đi rồi, để lại ngàn nổi nhớ và để em một mình hiu quạnh với những kỷ niệm, những khoảnh khắc hạnh phúc ấy..",1,1,Khớp,1
chỉ biết tự dựa vào ban than va tự an ủi mình,chỉ biết tự dựa vào bản thân và tự an ủi mình,2,2,Khớp,2
Gục ngã,Gục ngã,0,0,Khớp,0
"Tưởng đâu gia đình là nơi mà mình có thể tin tưởng ai ngờ, cái gì cũng không dám kể,kể một lần cho ba mẹ nghe một người thì muốn nói cô để cô xử còn người thì”m ko làm thì làm sao m lại bị ng ta đánh như vậy” chỉ có mình là ng trải nghiệm mới hiểu được cảm giác đó☺️","Tưởng đâu gia đình là nơi mà mình có thể tin tưởng ai ngờ, cái gì cũng không dám kể,kể một lần cho ba mẹ nghe một người thì muốn nói cô để cô xử còn người thì ""mày không làm thì làm sao mày lại bị người ta đánh như vậy” chỉ có mình là người trải nghiệm mới hiểu được cảm giác đó",1,1,Khớp,1
mẹ oii neu maii nayy gái của mẹ ra đii mẹ đừng buồn nhé😞 con mett lắm mẹ ạ,mẹ ơi nếu mai nay gái của mẹ ra đi mẹ đừng buồn nhé con mệt lắm mẹ ạ,0,0,Khớp,0
"trước thì có em mình để mình có thể chia sẻ mọi thứ , mọi nỗi tức mà h e mình đi mất gòi , hong ai bên cạnh để mình chia sẻ mọi chuyện nữa gòii🖤☺","trước thì có em mình để mình có thể chia sẻ mọi thứ , mọi nỗi tức mà giờ em mình đi mất gòi , hông ai bên cạnh để mình chia sẻ mọi chuyện nữa gòi",1,1,Khớp,1
Em mệt lắm. Em muốn ngủ và chẳng muốn thức.,Em mệt lắm. Em muốn ngủ và chẳng muốn thức.,0,0,Khớp,0
Mệt mỏi quá tôi muốn ngủ một giấc thật dài 😊😊,Mệt mỏi quá tôi muốn ngủ một giấc thật dài ,0,0,Khớp,0
Nhiều cái pk suy nghĩ cuộc sống chx bao h nhẹ nhàng vs bất cứ ai…,Nhiều cái phải suy nghĩ cuộc sống chưa bao giờ nhẹ nhàng với bất cứ ai…,1,1,Khớp,1
"Mệt quá, gánh nặng to lớn ấy mình bt khi nào mới hết lo dc đây , mình cố gắng mỗi ngày … mà cảm thấy vô cùng bất lực …","Mệt quá, gánh nặng to lớn ấy mình biết khi nào mới hết lo được đây , mình cố gắng mỗi ngày … mà cảm thấy vô cùng bất lực …",0,0,Khớp,0
Dạo này hơi áp lực 😞 cảm thấy buồn quá,Dạo này hơi áp lực cảm thấy buồn quá,0,0,Khớp,0
Mạnh mẽ nó cũng có giới hạn mà 🙂,Mạnh mẽ nó cũng có giới hạn mà ,2,2,Khớp,2
Mệt mỏi thế .00h41 đã khóc 🥺,Mệt mỏi thế .00 giờ 41 đã khóc ,0,0,Khớp,0
Mệt mỏi vì hnay khóc quá nhiều!,Mệt mỏi vì hôm nay khóc quá nhiều!,0,0,Khớp,0
"Đã đi làm về mệt rồi còn đủ thứ chuyện ,ngày hnay của mình bị lsao thế nhỉ","Đã đi làm về mệt rồi còn đủ thứ chuyện ,ngày hôm nay của mình bị làm sao thế nhỉ",0,0,Khớp,0
"k dám trách bất kì điều gì , vì chính tôi do tôi lên làm gì có quyền lên tiếng 😞","không dám trách bất kì điều gì , vì chính tôi do tôi lên làm gì có quyền lên tiếng ",2,2,Khớp,2
Anh mệt thì ai thấy được đây 😞,Anh mệt thì ai thấy được đây ,0,2,Lệch,0
Mệt lắm áp lực lắm 🥺,Mệt lắm áp lực lắm ,0,0,Khớp,0
Chuyện gì đến thì đến nốt đi mệt lắm rồi 😔,Chuyện gì đến thì đến nốt đi mệt lắm rồi ,0,0,Khớp,0
"Sao cũng được bản thân bình yên là đc , cs này đối xử tệ với mình quá","Sao cũng được bản thân bình yên là được , cuộc sống này đối xử tệ với mình quá",2,2,Khớp,2
tui cũng thế. dù ốm nhưng vẫn ko bỏ bê công việc. vẫn ước muốn xây được kênh để làm những điều trong tương lai nên vượt đau ốm để làm mà lượt xem lẹt đẹt quá hà. cx nản mà tui sẽ cố gắng. hhhu 🥹🥹 cho tui xin lời khuyên và động lực vs ah. ai biết tui sai ở đâu chỉ tui với ạ 🥹🥹,tui cũng thế. dù ốm nhưng vẫn không bỏ bê công việc. vẫn ước muốn xây được kênh để làm những điều trong tương lai nên vượt đau ốm để làm mà lượt xem lẹt đẹt quá hà. cũng nản mà tui sẽ cố gắng. hhhu cho tui xin lời khuyên và động lực với ạ. ai biết tui sai ở đâu chỉ tui với ạ,2,2,Khớp,2
áp luc quá sức chịu dung,áp lực quá sức chịu đựng,0,1,Lệch,0
Hôm nay tôi thật sì tressed,Hôm nay tôi thật sì tressed,0,0,Khớp,0
"cứ mỗi lần gục ngã bản thân mắc sai lầm trong cuộc đời . lại nhìn thấy những giọt nước mắt của bố mẹ rơi vì bản thân, thật sự rất đau lòng và bế tắc . chẳng còn giám than vãn gì với mẹ . khi mỗi đêm mẹ mất ngủ .","cứ mỗi lần gục ngã bản thân mắc sai lầm trong cuộc đời . lại nhìn thấy những giọt nước mắt của bố mẹ rơi vì bản thân, thật sự rất đau lòng và bế tắc . chẳng còn giám than vãn gì với mẹ . khi mỗi đêm mẹ mất ngủ .",0,0,Khớp,0
"Tại sao chứ, tại sao bản thân lại yếu đuối đến như vậy...?","Tại sao chứ, tại sao bản thân lại yếu đuối đến như vậy...?",1,1,Khớp,1
"cty ko trả lương , ko tiền vô dụng ghê","công ty không trả lương , không tiền vô dụng ghê",0,0,Khớp,0
Mệt mỏi thật sự..,Mệt mỏi thật sự..,0,0,Khớp,0
Mệt nhỉ..!,Mệt nhỉ..!,0,0,Khớp,0
Hôm nào cũng vậy chả biet phải cố đến bao h,Hôm nào cũng vậy chả biết phải cố đến bao giờ,1,1,Khớp,1
buông xuôi tất cả,buông xuôi tất cả,1,1,Khớp,1
Hôm nay mình rất mệt😌,Hôm nay mình rất mệt,0,0,Khớp,0
anh mệt quá,anh mệt quá,0,0,Khớp,0
Mệt thật đấy,Mệt thật đấy,0,0,Khớp,0
Hôm nay thật sự rất kiệt sức,Hôm nay thật sự rất kiệt sức,0,0,Khớp,0
Chỉ trách bản thân vô dụng k gánh nổi,Chỉ trách bản thân vô dụng không gánh nổi,0,0,Khớp,0
"hôm nay. mình cảm thấy kiệt sức mình không dám trách cuộc sống có quá nhiều áp lực, chỉ trách bản thân không đủ mạnh mẽ để chịu đựng","hôm nay. mình cảm thấy kiệt sức mình không dám trách cuộc sống có quá nhiều áp lực, chỉ trách bản thân không đủ mạnh mẽ để chịu đựng",0,0,Khớp,0
"Mệt thật sự,mọi chuyện xung quanh như chống lại mình,tối nào cg chỉ bt khóc một mình,k có chút tích cực nào cả,đau thể xác lẫn tinh thần,là chỗ dựa tinh thần duy nhất của t mà anh còn k hiểu cho t đã chịu đựng những gì","Mệt thật sự,mọi chuyện xung quanh như chống lại mình,tối nào cũng chỉ biết khóc một mình, không có chút tích cực nào cả,đau thể xác lẫn tinh thần, là chỗ dựa tinh thần duy nhất của tôi mà anh còn không hiểu cho tôi đã chịu đựng những gì",0,0,Khớp,0
Vào một ngày bình thường mọi việc đổ dồn trên đôi vai cố ấy bất lực đến tụt độ😳,Vào một ngày bình thường mọi việc đổ dồn trên đôi vai cố ấy bất lực đến tụt độ,0,0,Khớp,0
"Hôm nay em rất mệt , em chẳng muốn làm gì cả . Đói em ăn cũng không thấy ngon 🥹","Hôm nay em rất mệt , em chẳng muốn làm gì cả . Đói em ăn cũng không thấy ngon ",0,0,Khớp,0
Ở cái tuổi đáng ra t phải vui vẻ sống cuộc sống thanh xuân  t lại  phải nghĩ quá nhiều để kiếm tiền mưu sinh,Ở cái tuổi đáng ra tôi phải vui vẻ sống cuộc sống thanh xuân  tôi lại  phải nghĩ quá nhiều để kiếm tiền mưu sinh,1,1,Khớp,1
Ước gì con báo hiếu hết cho Cha Mẹ con sẽ ngủ một giấc thật gì và không bao giờ tỉnh dậy. Nếu có kiếp sau con cũng chỉ ước mình là các bụi hư vô. Con không làm người nữa đâu. Con mệt lắm rồi chả ai quan tâm đến cảm xúc của con cả,Ước gì con báo hiếu hết cho Cha Mẹ con sẽ ngủ một giấc thật dài và không bao giờ tỉnh dậy. Nếu có kiếp sau con cũng chỉ ước mình là các bụi hư vô. Con không làm người nữa đâu. Con mệt lắm rồi chả ai quan tâm đến cảm xúc của con cả,0,0,Khớp,0
"Hay là bắt đầu lại một kiếp khác, không đau không luỵ","Hay là bắt đầu lại một kiếp khác, không đau không luỵ",1,1,Khớp,1
😌😌😌 Bất lực với chính cuộc sống của mình .., Bất lực với chính cuộc sống của mình ..,0,0,Khớp,0
"Hay là mình buôn bỏ hết đi, mình bắt đầu lại ở 1 kiếp khác 😢","Hay là mình buôn bỏ hết đi, mình bắt đầu lại ở 1 kiếp khác ",0,0,Khớp,0
"tự dưng hôm nay không muốn cố gắng gì nữa, chỉ muốn buông xuôi bỏ hết, về với mây với gió cho nhẹ người...","tự dưng hôm nay không muốn cố gắng gì nữa, chỉ muốn buông xuôi bỏ hết, về với mây với gió cho nhẹ người...",0,0,Khớp,0
Cảm thấy bất lực với chính số phận của mình. Tinh thần kiệt quệ không người sẻ chia,Cảm thấy bất lực với chính số phận của mình. Tinh thần kiệt quệ không người sẻ chia,0,0,Khớp,0
chỉ muốn buông xuôi tất cả,chỉ muốn buông xuôi tất cả,1,1,Khớp,1
bất lực với số phận nhìu lúc chỉ muốn về với mây với gió nhưng mà còn 2 đứa con thơ phải làm sao 😢,bất lực với số phận nhiều lúc chỉ muốn về với mây với gió nhưng mà còn 2 đứa con thơ phải làm sao ,1,1,Khớp,1
muốn buông xuôi mà con còn non dại quá mẹ đi rồi con phải làm sao😔,muốn buông xuôi mà con còn non dại quá mẹ đi rồi con phải làm sao,1,1,Khớp,1
Cũng muốn buông bỏ lắm😭nhưng phía sau còn đứa ctrai của mẹ nữa😓,Cũng muốn buông bỏ lắm nhưng phía sau còn đứa con trai của mẹ nữa,1,1,Khớp,1
Kiếp này đến để gánh chịu những tủi thân những lời nói khó nghe trách móc của người đời 😥sao mà mệt mỏi quá rồi 😥 bản thân vô dụng làm gì cũng chẳng vừa lòng người đời 😳,Kiếp này đến để gánh chịu những tủi thân những lời nói khó nghe trách móc của người đời sao mà mệt mỏi quá rồi bản thân vô dụng làm gì cũng chẳng vừa lòng người đời,0,0,Khớp,0
bố mẹ ơi.bao năm qua con mệt rồi 🥺🥺🥺 con muốn về với bố mẹ 😢😢😢...sao khó quá vậy.,bố mẹ ơi.bao năm qua con mệt rồi con muốn về với bố mẹ...sao khó quá vậy.,0,0,Khớp,0
"Áp lực,mệt mỏi,bất lực với số phậnn😞","Áp lực,mệt mỏi,bất lực với số phận",0,0,Khớp,0
muốn buông xuôi tất cả nhưng nhìn đứa con thơ dại ngây thơ nằm ngủ ngon giấc sao thấy lòng nghẹn...😔,muốn buông xuôi tất cả nhưng nhìn đứa con thơ dại ngây thơ nằm ngủ ngon giấc sao thấy lòng nghẹn,1,1,Khớp,1
Miếng cơm manh áo khiến ta áp lực nhường nào,Miếng cơm manh áo khiến ta áp lực nhường nào,2,2,Khớp,2
Áp lực đủ thứ 🥺🥺,Áp lực đủ thứ,1,1,Khớp,1
K biết cố gắng vì điều gì..,Không biết cố gắng vì điều gì..,2,2,Khớp,2
Hay là buông xuôi thôi nhỉ .,Hay là buông xuôi thôi nhỉ .,0,0,Khớp,0
"tự dưng hôm nay không muốn cố gắng gì nữa, chỉ muốn buông xuôi bỏ hết, về với mây với gió cho nhẹ người...","tự dưng hôm nay không muốn cố gắng gì nữa, chỉ muốn buông xuôi bỏ hết, về với mây với gió cho nhẹ người...",0,0,Khớp,0
Có thể kết thúc tại đây và bắt đầu 1 kiếp khác được hông ạ. K còn đau như kiếp này nữa và trở về vs mây trời hông ạ••• nguyện kiếp sau k làm NGƯỜI nữa được hông,Có thể kết thúc tại đây và bắt đầu 1 kiếp khác được hông ạ. Không còn đau như kiếp này nữa và trở về với mây trời hông ạ nguyện kiếp sau không làm NGƯỜI nữa được hông,0,0,Khớp,0
Cố gắng biết bao nhưng càng cố cuộc đời càng bão giông vậy. Hy vọng 1 cuộc đời bình yên khó vậy sao 🙂,Cố gắng biết bao nhưng càng cố cuộc đời càng bão giông vậy. Hy vọng  1 cuộc đời bình yên khó vậy sao ,2,2,Khớp,2
Thật sự rất bất lực,Thật sự rất bất lực,0,1,Lệch,0
Thấy mệt mỏi quá 😔,Thấy mệt mỏi quá ,0,0,Khớp,0
"Mệt mỏi, nhưng con đường là do mình chọn phải chấp nhận thôi","Mệt mỏi, nhưng con đường là do mình chọn phải chấp nhận thôi",2,2,Khớp,2
muốn buông xuôi lắm. nhưng còn bổn phận làm con và trách nhiệm làm mẹ. nên phải cố gắng,muốn buông xuôi lắm. nhưng còn bổn phận làm con và trách nhiệm làm mẹ. nên phải cố gắng,1,1,Khớp,1
Cs nay met moi qua 😔😔😔,Cuộc sống này mệt mỏi quá,0,0,Khớp,0
"Mệt mỏi , bất lực … tôi k có nhiều sự lựa chọn nhưng nếu có thể 💔tôi muốn bước đi 1 mình , làm những gì mình thích, đi nhưng nơi tôi muốn , đến những tấm hình đăng tôi cũng k thoải mái 🥺🥺🥺🥺","Mệt mỏi , bất lực … tôi không có nhiều sự lựa chọn nhưng nếu có thể  tôi muốn bước đi 1 mình , làm những gì mình thích, đi nhưng nơi tôi muốn , đến những tấm hình đăng tôi cũng không thoải mái",2,2,Khớp,2
Hazzz bất lực thực sự😞,Hazzz bất lực thực sự,0,0,Khớp,0
🥺😭chán nản muon buông xuoi tat ca,chán nản muốn buông xuôi tất cả,0,0,Khớp,0
Mệt mỏi quá biết sao bây giờ thật sự tôi mệt mỏi quá,Mệt mỏi quá biết sao bây giờ thật sự tôi mệt mỏi quá,0,0,Khớp,0
"tiền kiếm bao nhiêu là đủ,những lúc tui thức sớm bương chải ngoài đường kiếm tiền chẳng ai biết,nhưng nghỉ ngơi 1 ngày bị nặng nhẹ ,chỉ biết ôm nước mắt vào lòng,chỉ ước cho tui ngủ giấc,hk tỉnh lại nữa","tiền kiếm bao nhiêu là đủ,những lúc tui thức sớm bương chải ngoài đường kiếm tiền chẳng ai biết,nhưng nghỉ ngơi 1 ngày bị nặng nhẹ ,chỉ biết ôm nước mắt vào lòng,chỉ ước cho tui ngủ giấc,không tỉnh lại nữa",0,0,Khớp,0
Ai đó ôm tôi một cái được không. Mỏi bất lực 🥺🥺🥺,Ai đó ôm tôi một cái được không. Mỏi bất lực,2,2,Khớp,2
Hay con buông xuôi về với mây với gió với ôb với bố chứ cs con thấy mệt mỏi quá r,Hay con buông xuôi về với mây với gió với ông bà với bố chứ cuộc sống con thấy mệt mỏi quá rồi,0,0,Khớp,0
"thương người sinh ra mình, và người mình sinh ra nên dù như nào cũng chưa dám nghĩ đến ngừng thở","thương người sinh ra mình, và người mình sinh ra nên dù như nào cũng chưa dám nghĩ đến ngừng thở",2,2,Khớp,2
Mệt mỏi quá rồi. Nhưng nhìn lại con còn quá nhỏ.mẹ đi rồi thì con sẽ ntn,Mệt mỏi quá rồi. Nhưng nhìn lại con còn quá nhỏ.mẹ đi rồi thì con sẽ như thế nào,1,1,Khớp,1
"ai rồi cũng về với mây trời
thôi thì đừng vội
thước phim của chính bản thân chưa công chiếu hết. hãy làm khán giả cho cuộc đời mình "" ha","ai rồi cũng về với mây trời
thôi thì đừng vội
thước phim của chính bản thân chưa công chiếu hết. hãy làm khán giả cho cuộc đời mình ha",2,2,Khớp,2
mệt mỏi muốn buông xuôi tất cả cho nhẹ người,mệt mỏi muốn buông xuôi tất cả cho nhẹ người,0,0,Khớp,0
"đời này coi như bỏ, nếu ko cố gắng thì mãi mãi buồn 🥹🥹🥹","đời này coi như bỏ, nếu không cố gắng thì mãi mãi buồn ",2,2,Khớp,2
Cv hk ổn định đường đời cũng chẳng suôn sẻ hk biết cứ lênh đênh tới khi nào . cố gắng rất nhiều nhưng kết quả nhận lại là con số 0 😊,Công việc không ổn định đường đời cũng chẳng suôn sẻ không biết cứ lênh đênh tới khi nào . cố gắng rất nhiều nhưng kết quả nhận lại là con số 0 ,1,1,Khớp,1
Phía trước là tương lai phía sau là con với mẹ🥺,Phía trước là tương lai phía sau là con với mẹ,2,2,Khớp,2
Buông xuôi tất cả 😔,Buông xuôi tất cả ,0,0,Khớp,0
"mệt mỏi ,áp lực đủ thứ","mệt mỏi ,áp lực đủ thứ",0,0,Khớp,0
Hiện tại cũng đang bế tắc và rất mệt mỏi.. nhưng lại k biết làm như nào để vượt qua,Hiện tại cũng đang bế tắc và rất mệt mỏi.. nhưng lại không biết làm như nào để vượt qua,1,1,Khớp,1
Nhìn con nằm cạnh mà k kìm dc … mình chọn mình chịu nhưng bất lực kb nên làm gì !,Nhìn con nằm cạnh mà không kìm được … mình chọn mình chịu nhưng bất lực không biết nên làm gì !,1,1,Khớp,1
Tự nhiên nhớ mẹ ghê,Tự nhiên nhớ mẹ ghê,2,2,Khớp,2
muốn từ bỏ hết mọi thứ 😭😭,muốn từ bỏ hết mọi thứ ,0,0,Khớp,0
Rất mệt 😓,Rất mệt ,0,0,Khớp,0
buông thì sợ con khổ . ráng thì mệt thở k nổi luôn,buông thì sợ con khổ . ráng thì mệt thở không nổi luôn,1,1,Khớp,1
"Muốn buông xuôi mà trên còn bố mẹ dưới còn con thơ, cứ phải cố 1 mk gồng gánh","Muốn buông xuôi mà trên còn bố mẹ dưới còn con thơ, cứ phải cố 1 mình gồng gánh",1,1,Khớp,1
"Nhiều lúc cx muốn như vậy cho nhẹ lòng 😞nhưng vì nghiệp duyên kiếp này vẫn chưa trả hết,vẫn còn vướng bận nơi Hồng trần nên k nỡ😓","Nhiều lúc cũng muốn như vậy cho nhẹ lòng nhưng vì nghiệp duyên kiếp này vẫn chưa trả hết,vẫn còn vướng bận nơi Hồng trần nên không nỡ",2,2,Khớp,2
bất lực với số phận mệt mỏi với tất cả mọi thứ,bất lực với số phận mệt mỏi với tất cả mọi thứ,0,0,Khớp,0
Muốn buông bỏ hết về với mây nhưng còn con thơ phải làm s 🥺,Muốn buông bỏ hết về với mây nhưng còn con thơ phải làm sao,1,1,Khớp,1
Mệt mỏi,Mệt mỏi,0,0,Khớp,0
áp lực với moi thu muốn bỏ hết tất cả để đến kiếp khác nhưk mình còn co con....,áp lực với mọi thứ muốn bỏ hết tất cả để đến kiếp khác như không mình còn có con....,0,0,Khớp,0
từ bao h bản thân trở thành nô lệ của đồng tiền 😌,từ bao giờ bản thân trở thành nô lệ của đồng tiền ,2,2,Khớp,2
tôi đi rồi mẹ già ốm yếu ai lo cho đây. thật bất lực🥺🥺,tôi đi rồi mẹ già ốm yếu ai lo cho đây. thật bất lực,1,1,Khớp,1
"T thật sự rất mệt, tự dưng k còn muốn cố gắng thêm chút nào nữa","Tôi thật sự rất mệt, tự dưng không còn muốn cố gắng thêm chút nào nữa",0,0,Khớp,0
Buồn 😞 tress,Buồn tress,0,0,Khớp,0
"E mệt quá,gồng gánh ko nổi nữa rồi.e buông được ko😢","Em mệt quá, gồng gánh không nổi nữa rồi.em buông được không",0,0,Khớp,0
có thể ngủ mà k dậy luôn không🥹,có thể ngủ mà không dậy luôn không,2,2,Khớp,2
Cứ dặn lòng thôi cố gắng lên,Cứ dặn lòng thôi cố gắng lên,2,2,Khớp,2
chỉ mong trả hết nơ hết duyên hết nghiệp rồi ta về với chỗ hư vô kbh quay lại đc k,chỉ mong trả hết nơ hết duyên hết nghiệp rồi ta về với chỗ hư vô không bao giờ quay lại được không,2,2,Khớp,2
Cho mình 1 ngày thôi nhé. R mọi việc sẽ ổn,Cho mình 1 ngày thôi nhé. Rồi mọi việc sẽ ổn,2,2,Khớp,2
😔😔 Quá mệt mỏi rồi . Hết sức rồi,Quá mệt mỏi rồi . Hết sức rồi,0,0,Khớp,0
"Mệt mỏi áp lực quá phải làm sao
Không còn ai để an ủi lúc này","Mệt mỏi áp lực quá phải làm sao
Không còn ai để an ủi lúc này",0,0,Khớp,0
người cho con qua kiếp nạn và cho con tồn tại nhưng lại k cho con sức khỏe cx k cho con qua nhx cơn đau đớn đến phát ốm😢,người cho con qua kiếp nạn và cho con tồn tại nhưng lại không cho con sức khỏe cũng không cho con qua những cơn đau đớn đến phát ốm,2,2,Khớp,2
Thật sự là k gồng nổi nữa 🥺,Thật sự là không gồng nổi nữa ,0,0,Khớp,0
tự động viên mình... cố lên tôi ơi😊,tự động viên mình... cố lên tôi ơi,2,2,Khớp,2
mây của trời hãy để gió cuốn đi 🥺,mây của trời hãy để gió cuốn đi ,2,2,Khớp,2
cố gắng bao ngày bất lực trong phút chốc 😌,cố gắng bao ngày bất lực trong phút chốc ,0,0,Khớp,0
